measurement_id,area_id,count_date,count_start,count_end,occupied_spaces,free_spaces,inaccessible_spaces,public_availability_verified,mosque_attendance,other_user_notes,photo_reference,counter_name,signature
M-01,P-01,,,,,,,,,,,,
M-01,P-02,,,,,,,,,,,,
M-01,P-03,,,,,,,,,,,,
M-01,P-04,,,,,,,,,,,,
M-01,P-05,,,,,,,,,,,,
M-02,P-01,,,,,,,,,,,,
M-02,P-02,,,,,,,,,,,,
M-02,P-03,,,,,,,,,,,,
M-02,P-04,,,,,,,,,,,,
M-02,P-05,,,,,,,,,,,,
M-03,P-01,,,,,,,,,,,,
M-03,P-02,,,,,,,,,,,,
M-03,P-03,,,,,,,,,,,,
M-03,P-04,,,,,,,,,,,,
M-03,P-05,,,,,,,,,,,,
M-04,P-01,,,,,,,,,,,,
M-04,P-02,,,,,,,,,,,,
M-04,P-03,,,,,,,,,,,,
M-04,P-04,,,,,,,,,,,,
M-04,P-05,,,,,,,,,,,,
M-05,P-01,,,,,,,,,,,,
M-05,P-02,,,,,,,,,,,,
M-05,P-03,,,,,,,,,,,,
M-05,P-04,,,,,,,,,,,,
M-05,P-05,,,,,,,,,,,,
