calculation_id,category,title,formula_or_method,input_refs,result,unit,status,control_limit,limitation,model_refs,drawing_refs,report_refs,request_refs,source_status
CAL-A01,area_volume,Extension floor area,width * length,"IN-001,IN-002",70.0,m2,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A02,area_volume,Extension gross floor area,floor_area * storeys,"CAL-A01,IN-003",140.0,m2,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"BLD-EXTENSION,L00,L01","A-101,A-102","R-001,R-101",REQ-102,SIMULATION_ONLY
CAL-A03,area_volume,Extension enclosed volume,floor_area * storey_height * storeys,"CAL-A01,IN-004,IN-003",448.0,m3,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,"A-201,A-301",R-101,REQ-102,SIMULATION_ONLY
CAL-A04,area_volume,Existing gross floor area,existing_width * existing_length * storeys,,336.0,m2,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXISTING,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A05,area_volume,Total gross floor area,existing_gross_area + extension_gross_area,"CAL-A02,CAL-A04",476.0,m2,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"BLD-EXISTING,BLD-EXTENSION","A-101,A-102",R-001,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,Modelled net space area,sum(space.area_m2),,388.32,m2,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"SP-L00-01,SP-L00-02,SP-L00-03,SP-L00-04,SP-L00-05,SP-L00-06,SP-L01-01,SP-L01-02,SP-L01-03,SP-L01-04,SP-L01-05,SP-L01-06","A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-S01,structural_loads,Service floor load per storey,floor_area * floor_area_load,"CAL-A01,IN-005",490.0,kN,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S02,structural_loads,Service roof load,roof_area * roof_area_load,"CAL-A01,IN-006",245.0,kN,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"BLD-EXTENSION,LRF","A-401,S-201",R-201,REQ-103,SIMULATION_ONLY
CAL-S03,structural_loads,Total service gravity load,floor_area * floor_load * storeys + roof_area * roof_load + wall_allowance,"CAL-A01,IN-003,IN-005,IN-006,IN-007",1335.0,kN,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S04,load_path,Average column reaction,total_service_load / column_count,"CAL-S03,IN-008",148.33,kN,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"CONN-001,CONN-002,CONN-003,CONN-004",S-201,R-201,REQ-103,SIMULATION_ONLY
