id,subtype,level_id,host_id,offset_m,width_m,height_m,status
DOOR-001,door,L00,WALL-EX-L00-S,2.0,1.2,2.3,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
DOOR-002,door,L00,WALL-NEW-L00-E,4.0,1.2,2.3,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
DOOR-003,door,L00,WALL-EX-L00-I1,3.0,1.0,2.2,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
DOOR-004,door,L00,WALL-NEW-L00-I1,2.0,1.0,2.2,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
DOOR-005,door,L01,WALL-EX-L01-I1,3.0,1.0,2.2,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
DOOR-006,door,L01,WALL-NEW-L01-I1,2.0,1.0,2.2,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-001,window,L00,WALL-EX-L00-N,2.0,1.8,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-002,window,L00,WALL-EX-L00-N,7.0,1.8,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-003,window,L00,WALL-EX-L00-W,5.0,1.5,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-004,window,L00,WALL-NEW-L00-N,2.0,1.8,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-005,window,L00,WALL-NEW-L00-E,6.0,1.8,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-006,window,L01,WALL-EX-L01-N,2.0,1.8,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-007,window,L01,WALL-EX-L01-N,7.0,1.8,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-008,window,L01,WALL-EX-L01-W,5.0,1.5,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-009,window,L01,WALL-NEW-L01-N,2.0,1.8,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
WINDOW-010,window,L01,WALL-NEW-L01-E,6.0,1.8,1.4,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
