id,type,source,target
REL-BAY-P-A-001-ZONE,part_of,BAY-P-A-001,P-A
REL-BAY-P-A-002-ZONE,part_of,BAY-P-A-002,P-A
REL-BAY-P-A-003-ZONE,part_of,BAY-P-A-003,P-A
REL-BAY-P-A-004-ZONE,part_of,BAY-P-A-004,P-A
REL-BAY-P-A-005-ZONE,part_of,BAY-P-A-005,P-A
REL-BAY-P-A-006-ZONE,part_of,BAY-P-A-006,P-A
REL-BAY-P-A-007-ZONE,part_of,BAY-P-A-007,P-A
REL-BAY-P-A-008-ZONE,part_of,BAY-P-A-008,P-A
REL-BAY-P-A-009-ZONE,part_of,BAY-P-A-009,P-A
REL-BAY-P-A-010-ZONE,part_of,BAY-P-A-010,P-A
REL-BAY-P-A-011-ZONE,part_of,BAY-P-A-011,P-A
REL-BAY-P-A-012-ZONE,part_of,BAY-P-A-012,P-A
REL-BAY-P-A-013-ZONE,part_of,BAY-P-A-013,P-A
REL-BAY-P-A-014-ZONE,part_of,BAY-P-A-014,P-A
REL-BAY-P-A-015-ZONE,part_of,BAY-P-A-015,P-A
REL-BAY-P-A-016-ZONE,part_of,BAY-P-A-016,P-A
REL-BAY-P-A-017-ZONE,part_of,BAY-P-A-017,P-A
REL-BAY-P-A-018-ZONE,part_of,BAY-P-A-018,P-A
REL-BAY-P-A-019-ZONE,part_of,BAY-P-A-019,P-A
REL-BAY-P-A-020-ZONE,part_of,BAY-P-A-020,P-A
REL-BAY-P-A-021-ZONE,part_of,BAY-P-A-021,P-A
REL-BAY-P-A-022-ZONE,part_of,BAY-P-A-022,P-A
REL-BAY-P-A-023-ZONE,part_of,BAY-P-A-023,P-A
REL-BAY-P-A-024-ZONE,part_of,BAY-P-A-024,P-A
REL-BAY-P-A-025-ZONE,part_of,BAY-P-A-025,P-A
REL-BAY-P-A-026-ZONE,part_of,BAY-P-A-026,P-A
REL-BAY-P-A-027-ZONE,part_of,BAY-P-A-027,P-A
REL-BAY-P-A-028-ZONE,part_of,BAY-P-A-028,P-A
REL-BAY-P-A-029-ZONE,part_of,BAY-P-A-029,P-A
REL-BAY-P-A-030-ZONE,part_of,BAY-P-A-030,P-A
REL-BAY-P-A-031-ZONE,part_of,BAY-P-A-031,P-A
REL-BAY-P-A-032-ZONE,part_of,BAY-P-A-032,P-A
