check_id,topic,passed,result,note
COORD-01,Model fingerprint,True,PASS,Concept technical coordination
COORD-02,Level consistency,True,PASS,Concept technical coordination
COORD-03,Space count,True,PASS,Concept technical coordination
COORD-04,Opening count,True,PASS,Concept technical coordination
COORD-05,Drawing-model dimensions,True,PASS,Concept technical coordination
COORD-06,Report-model areas,True,PASS,Concept technical coordination
COORD-07,Calculation-model area,True,PASS,Concept technical coordination
COORD-08,Door schedule-plan,True,PASS,Concept technical coordination
COORD-09,Window schedule-elevations,True,PASS,Concept technical coordination
COORD-10,Detail-assembly link,True,PASS,Concept technical coordination
COORD-11,Foundation-load link,True,PASS,Concept technical coordination
COORD-12,Fire-door link,True,PASS,Concept technical coordination
COORD-13,Ventilation-space link,True,PASS,Concept technical coordination
COORD-14,Drainage-roof link,True,PASS,Concept technical coordination
COORD-15,Parking-site link,True,PASS,Concept technical coordination
COORD-16,AERIUS-phasing link,True,PASS,Concept technical coordination
COORD-17,Specification-drawing link,True,PASS,Concept technical coordination
COORD-18,Permit-index-manifest,True,PASS,Concept technical coordination
COORD-19,Tender-index-manifest,True,PASS,Concept technical coordination
COORD-20,Execution-index-manifest,True,PASS,Concept technical coordination
COORD-21,Revision C02,True,PASS,Concept technical coordination
COORD-22,Status watermark,True,PASS,Concept technical coordination
COORD-23,Evidence boundary,True,PASS,Concept technical coordination
COORD-24,BB36 lock,True,PASS,Concept technical coordination
