check_id,comparison,result,status
CONS-01,Model vs plans,PASS,COORDINATED CONCEPT
CONS-02,Plans vs elevations,PASS,COORDINATED CONCEPT
CONS-03,Plans vs sections,PASS,COORDINATED CONCEPT
CONS-04,Sections vs details,PASS,COORDINATED CONCEPT
CONS-05,Schedules vs drawings,PASS,COORDINATED CONCEPT
CONS-06,Specification vs drawings,PASS,COORDINATED CONCEPT
CONS-07,Quantities vs model,PASS,COORDINATED CONCEPT
CONS-08,Calculations vs model,PASS,COORDINATED CONCEPT
CONS-09,Fire matrix vs doors,PASS,COORDINATED CONCEPT
CONS-10,Ventilation vs rooms,PASS,COORDINATED CONCEPT
CONS-11,Drainage vs roof,PASS,COORDINATED CONCEPT
CONS-12,Parking vs site,PASS,COORDINATED CONCEPT
CONS-13,AERIUS vs phasing,PASS,COORDINATED CONCEPT
CONS-14,Permit index vs manifest,PASS,COORDINATED CONCEPT
CONS-15,Tender index vs manifest,PASS,COORDINATED CONCEPT
CONS-16,Execution index vs manifest,PASS,COORDINATED CONCEPT
