site_id,topic,concept_status,verification,status
SIT-01,225-space inventory,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
SIT-02,Accessible parking,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
SIT-03,Pedestrian route,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
SIT-04,Bicycle parking,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
SIT-05,Drop-off,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
SIT-06,Fire service route,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
SIT-07,Loading,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
SIT-08,Site drainage,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
SIT-09,Lighting,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
SIT-10,Landscape boundary,Integrated in technical concept,REQ-106 field validation pending,CONCEPT
