room_id,room_name,floor_finish,wall_finish,ceiling_finish,skirting,status
R-01,Entrance,Acoustic carpet,Durable paint,Acoustic ceiling,Painted skirting,CONCEPT
R-02,Prayer hall men,Acoustic carpet,Durable paint,Acoustic ceiling,Painted skirting,CONCEPT
R-03,Meeting room,Acoustic carpet,Durable paint,Acoustic ceiling,Painted skirting,CONCEPT
R-04,Ablution men,Slip-resistant tile,Tiled wet zone / washable coating,Moisture-resistant ceiling,Coved tile,CONCEPT
R-05,Toilets ground,Slip-resistant tile,Tiled wet zone / washable coating,Moisture-resistant ceiling,Coved tile,CONCEPT
R-06,Stair hall,Acoustic carpet,Durable paint,Acoustic ceiling,Painted skirting,CONCEPT
R-07,Prayer hall women,Acoustic carpet,Durable paint,Acoustic ceiling,Painted skirting,CONCEPT
R-08,Classroom 1,Acoustic carpet,Durable paint,Acoustic ceiling,Painted skirting,CONCEPT
R-09,Classroom 2,Acoustic carpet,Durable paint,Acoustic ceiling,Painted skirting,CONCEPT
R-10,Canteen,Acoustic carpet,Durable paint,Acoustic ceiling,Painted skirting,CONCEPT
R-11,Ablution women,Slip-resistant tile,Tiled wet zone / washable coating,Moisture-resistant ceiling,Coved tile,CONCEPT
R-12,Toilets first,Slip-resistant tile,Tiled wet zone / washable coating,Moisture-resistant ceiling,Coved tile,CONCEPT
