item_no,document,status,execution_ready,note
1,Setting-out plan,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
2,Coordinated plans,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
3,Coordinated sections,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
4,Elevations,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
5,Foundation details,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
6,Wall details,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
7,Floor details,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
8,Roof details,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
9,Window details,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
10,Door details,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
11,Stair details,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
12,Movement joint details,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
13,Fire stopping details,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
14,MEP zone drawings,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
15,Opening and sleeve drawings,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
16,Drainage drawings,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
17,Site logistics,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
18,Construction phasing,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
19,Temporary access,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
20,Safety segregation,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
21,Material schedule,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
22,Door schedule,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
23,Window schedule,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
24,Room finish schedule,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
25,Technical specification,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
26,Inspection plan,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
27,Test plan,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
28,Submittal schedule,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
29,As-built requirements,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
30,Operation maintenance requirements,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
31,Professional design certificates,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
32,Revision C02,EXECUTION CONCEPT ONLY,False,Not for construction until evidence closure and specialist design
