item_id,topic,concept_requirement,verification,status
ACC-01,Step-free route,Included in technical concept,REQ-105 professional verification pending,CONCEPT
ACC-02,Entrance clear width,Included in technical concept,REQ-105 professional verification pending,CONCEPT
ACC-03,Internal door clear width,Included in technical concept,REQ-105 professional verification pending,CONCEPT
ACC-04,Accessible WC,Included in technical concept,REQ-105 professional verification pending,CONCEPT
ACC-05,Turning circle,Included in technical concept,REQ-105 professional verification pending,CONCEPT
ACC-06,Threshold height,Included in technical concept,REQ-105 professional verification pending,CONCEPT
ACC-07,Ramp gradient,Included in technical concept,REQ-105 professional verification pending,CONCEPT
ACC-08,Stair handrails,Included in technical concept,REQ-105 professional verification pending,CONCEPT
ACC-09,Visual contrast,Included in technical concept,REQ-105 professional verification pending,CONCEPT
ACC-10,Accessible parking route,Included in technical concept,REQ-105 professional verification pending,CONCEPT
