clash_id,category,location,description,severity,resolution,status
CL-001,Hard clash,L00,Automated concept coordination check 1,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-002,Clearance,L00,Automated concept coordination check 2,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-003,Access,L00,Automated concept coordination check 3,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-004,Fire separation,L00,Automated concept coordination check 4,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-005,Maintenance,L00,Automated concept coordination check 5,MEDIUM,Accepted condition - professional confirmation,CONDITION_ACCEPTED
CL-006,Drainage fall,L00,Automated concept coordination check 6,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-007,Opening alignment,L00,Automated concept coordination check 7,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-008,Headroom,L00,Automated concept coordination check 8,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-009,Hard clash,L00,Automated concept coordination check 9,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-010,Clearance,L00,Automated concept coordination check 10,MEDIUM,Accepted condition - professional confirmation,CONDITION_ACCEPTED
CL-011,Access,L00,Automated concept coordination check 11,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-012,Fire separation,L00,Automated concept coordination check 12,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-013,Maintenance,L01,Automated concept coordination check 13,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-014,Drainage fall,L01,Automated concept coordination check 14,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-015,Opening alignment,L01,Automated concept coordination check 15,MEDIUM,Accepted condition - professional confirmation,CONDITION_ACCEPTED
CL-016,Headroom,L01,Automated concept coordination check 16,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-017,Hard clash,L01,Automated concept coordination check 17,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-018,Clearance,L01,Automated concept coordination check 18,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-019,Access,L01,Automated concept coordination check 19,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-020,Fire separation,L01,Automated concept coordination check 20,MEDIUM,Accepted condition - professional confirmation,CONDITION_ACCEPTED
CL-021,Maintenance,L01,Automated concept coordination check 21,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-022,Drainage fall,L01,Automated concept coordination check 22,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-023,Opening alignment,L01,Automated concept coordination check 23,LOW,Resolved in concept model,CLOSED_CONCEPT
CL-024,Headroom,L01,Automated concept coordination check 24,LOW,Resolved in concept model,CLOSED_CONCEPT
