space_id,level,name,x_m,y_m,width_m,depth_m,area_m2,status
GF-01,ground_floor,Prayer / meeting room,0.0,0.0,4.8,7.0,33.6,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
GF-02,ground_floor,Conference room,4.8,0.0,2.2,4.8,10.56,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
GF-03,ground_floor,Main entrance,4.8,4.8,2.2,1.6,3.52,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
GF-04,ground_floor,Ablution room,4.8,6.4,2.2,2.1,4.62,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
GF-05,ground_floor,Toilets,4.8,8.5,2.2,1.5,3.3,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
GF-06,ground_floor,Connection / circulation,0.0,7.0,4.8,3.0,14.4,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
UF-01,upper_floor,Ladies prayer room,0.0,0.0,4.8,5.5,26.4,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
UF-02,upper_floor,Classroom 1,4.8,0.0,2.2,2.7,5.94,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
UF-03,upper_floor,Classroom 2,4.8,2.7,2.2,2.8,6.16,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
UF-04,upper_floor,Void,0.0,5.5,2.4,2.5,6.0,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
UF-05,upper_floor,Landing / circulation,2.4,5.5,2.4,2.5,6.0,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
UF-06,upper_floor,Ablution room,4.8,5.5,2.2,2.5,5.5,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
UF-07,upper_floor,Storage,0.0,8.0,2.4,2.0,4.8,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
UF-08,upper_floor,Upper circulation,2.4,8.0,2.4,2.0,4.8,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
UF-09,upper_floor,Toilet,4.8,8.0,2.2,2.0,4.4,CONCEPT - NOT FOR EXECUTION OR SUBMISSION
