fire_id,topic,concept_design,basis,professional_evidence,status
FIR-01,Occupancy basis,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-02,Exit count,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-03,Exit width,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-04,Door swing,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-05,Travel distance,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-06,Fire compartments,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-07,Smoke separation,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-08,Structural fire resistance,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-09,Emergency lighting,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-10,Escape signage,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-11,Fire alarm,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
FIR-12,Fire service access,Included and cross-referenced,200-person special peak / REQ-107,REQ-105,PROFESSIONAL ASSESSMENT PENDING
