item_no,document,status,tender_ready,note
1,Tender invitation interface,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
2,Scope description,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
3,Drawing set,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
4,Technical specification,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
5,Room finish schedule,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
6,Door schedule,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
7,Window schedule,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
8,Component assemblies,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
9,Detail set,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
10,Structural concept,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
11,MEP concept,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
12,Drainage concept,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
13,Fire safety concept,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
14,Accessibility concept,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
15,Site works concept,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
16,Parking works concept,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
17,Phasing plan,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
18,Temporary works interface,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
19,Quantity interface,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
20,Cost interface,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
21,Programme interface,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
22,Quality requirements,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
23,Submittal requirements,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
24,Testing requirements,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
25,Handover requirements,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
26,Exclusions,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
27,Professional evidence boundary,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
28,Revision C02,TECHNICAL CONCEPT,False,Issue only after professional evidence and commercial review
