id,type,subtype,name,level_id,building_id,host_id,zone_id,status
BAY-P-A-001,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-002,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-003,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-004,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-005,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-006,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-007,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-008,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-009,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-010,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-011,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-012,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-013,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-014,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-015,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-016,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-017,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-018,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-019,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-020,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-021,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
BAY-P-A-022,parking_bay,,,,,,P-A,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
