issue_id,discipline,description,resolution,revision,status
ISS-001,Architecture,Technical coordination issue 1,Resolved in C02 concept package,C02,CLOSED_CONCEPT
ISS-002,Structure,Technical coordination issue 2,Resolved in C02 concept package,C02,CLOSED_CONCEPT
ISS-003,MEP,Technical coordination issue 3,Resolved in C02 concept package,C02,CLOSED_CONCEPT
ISS-004,Fire,Technical coordination issue 4,Resolved in C02 concept package,C02,CLOSED_CONCEPT
ISS-005,Drainage,Technical coordination issue 5,Resolved in C02 concept package,C02,CLOSED_CONCEPT
ISS-006,Site,Technical coordination issue 6,Resolved in C02 concept package,C02,CLOSED_CONCEPT
ISS-007,AERIUS,Technical coordination issue 7,Resolved in C02 concept package,C02,CLOSED_CONCEPT
ISS-008,Specification,Technical coordination issue 8,Resolved in C02 concept package,C02,CLOSED_CONCEPT
ISS-009,Coordination,Technical coordination issue 9,Accepted boundary condition,C02,CONDITION_ACCEPTED
ISS-010,Revision,Technical coordination issue 10,Accepted boundary condition,C02,CONDITION_ACCEPTED
ISS-011,Evidence,Technical coordination issue 11,Accepted boundary condition,C02,CONDITION_ACCEPTED
ISS-012,Release,Technical coordination issue 12,Accepted boundary condition,C02,CONDITION_ACCEPTED
