sheet_id,title,scale,revision,status
TD-A-501,Foundation-to-external-wall detail,1:10,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-A-502,Ground-floor-to-external-wall detail,1:10,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-A-503,First-floor-to-external-wall detail,1:10,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-A-504,Roof edge and emergency overflow detail,1:10,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-A-505,New-to-existing movement joint detail,1:10,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-A-506,Window head jamb sill details,1:5,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-A-507,Accessible entrance threshold detail,1:5,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-A-508,Stair balustrade and handrail detail,1:10,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-M-601,MEP coordination zones and shafts,1:50,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-M-602,Roof drainage and sanitary routing,1:50,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-C-701,Coordinated section with discipline zones,1:50,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
TD-C-702,Structural openings and sleeves coordination,1:50,C02,TECHNICAL CONCEPT - NOT FOR PERMIT SUBMISSION OR EXECUTION
