review_id,category,criterion,result,evidence,action,blocking_final
REV-001,scope,Authoritative footprint is 7.00 x 10.00 m.,pass,project configuration,Retain decision B.,False
REV-002,scope,Authoritative gross extension area is 140 m2.,pass,project configuration,Retain decision B.,False
REV-003,status,Concept status blocks execution and submission.,pass,digital twin release block,Retain hard-coded notice.,False
REV-004,integrity,Concept manifest artifacts have valid SHA-256.,pass,24/24 valid,Do not continue if integrity fails.,False
REV-005,spaces,Space schedule totals 140 m2.,pass,140.00 m2,Coordinate measured DO layout.,False
REV-006,spaces,Fifteen concept spaces are scheduled.,pass,15,Verify room functions and occupancy.,False
REV-007,quantities,Concept quantities are positive.,pass,12 rows,Replace with measured quantities after DO/TO.,False
REV-008,cost,Concept cost band is explicitly non-final.,pass,4 rows,Obtain market quotations after technical design.,False
REV-009,structure,Structural concept has professional evidence.,fail,survey and geotechnical evidence absent,Acquire REQ-103 and REQ-104.,True
REV-010,permit,Bbl/fire/occupancy evidence is complete.,fail,external evidence absent,Acquire REQ-105 and REQ-107.,True
REV-011,site,Cadastral/survey base is controlled.,fail,original DWG absent,Acquire REQ-102.,True
REV-012,traffic,Parking and traffic evidence is field verified.,fail,preliminary study only,Acquire REQ-106 and REQ-107.,True
REV-013,aerius,AERIUS activity data is complete.,fail,construction/use data absent,Acquire REQ-108.,True
