calculation_id,category,model_object_id,drawing_refs,report_refs,request_refs,source_status
CAL-A01,area_volume,BLD-EXTENSION,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A02,area_volume,BLD-EXTENSION,"A-101,A-102","R-001,R-101",REQ-102,SIMULATION_ONLY
CAL-A02,area_volume,L00,"A-101,A-102","R-001,R-101",REQ-102,SIMULATION_ONLY
CAL-A02,area_volume,L01,"A-101,A-102","R-001,R-101",REQ-102,SIMULATION_ONLY
CAL-A03,area_volume,BLD-EXTENSION,"A-201,A-301",R-101,REQ-102,SIMULATION_ONLY
CAL-A04,area_volume,BLD-EXISTING,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A05,area_volume,BLD-EXISTING,"A-101,A-102",R-001,REQ-102,SIMULATION_ONLY
CAL-A05,area_volume,BLD-EXTENSION,"A-101,A-102",R-001,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L00-01,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L00-02,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L00-03,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L00-04,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L00-05,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L00-06,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L01-01,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L01-02,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L01-03,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L01-04,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L01-05,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-A06,area_volume,SP-L01-06,"A-101,A-102",R-101,REQ-102,SIMULATION_ONLY
CAL-S01,structural_loads,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S02,structural_loads,BLD-EXTENSION,"A-401,S-201",R-201,REQ-103,SIMULATION_ONLY
CAL-S02,structural_loads,LRF,"A-401,S-201",R-201,REQ-103,SIMULATION_ONLY
CAL-S03,structural_loads,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S04,load_path,CONN-001,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S04,load_path,CONN-002,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S04,load_path,CONN-003,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S04,load_path,CONN-004,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S05,load_path,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S06,load_path,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S07,load_path,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-F01,foundation,BLD-EXTENSION,S-101,R-201,REQ-104,SIMULATION_ONLY
CAL-F02,foundation,BLD-EXTENSION,S-101,R-201,REQ-104,SIMULATION_ONLY
CAL-E01,egress,BLD-EXTENSION,F-101,R-301,REQ-105,SIMULATION_ONLY
CAL-E02,egress,BLD-EXTENSION,F-101,R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-E03,egress,BLD-EXTENSION,F-101,R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-V01,ventilation,BLD-EXISTING,"A-101,A-102",R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-V01,ventilation,BLD-EXTENSION,"A-101,A-102",R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-V02,ventilation,BLD-EXISTING,"A-101,A-102",R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-V02,ventilation,BLD-EXTENSION,"A-101,A-102",R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-V03,ventilation,BLD-EXISTING,"A-101,A-102",R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-V03,ventilation,BLD-EXTENSION,"A-101,A-102",R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-P01,parking,P-A,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P01,parking,P-B,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P01,parking,P-C,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P01,parking,P-D,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P01,parking,P-E,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P02,parking,P-A,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P02,parking,P-B,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P02,parking,P-C,A-001,R-401,REQ-106,SIMULATION_ONLY
