finding_id,category,severity,finding,decision,required_action,blocking_final
F-001,scope,info,The 7.00 x 10.00 m two-storey scope is consistent in the controlled model.,accepted,Retain scope decision B in every downstream document.,False
F-002,document_control,info,All controlled outputs retain the concept status and final-release block.,accepted,Do not remove status notices before final gate approval.,False
F-003,integrity,info,The concept artifact manifest and SHA-256 evidence validate.,accepted,Preserve deterministic generation and checksums.,False
F-004,architecture,medium,The reconstructed room arrangement is suitable for concept coordination only.,accepted_with_conditions,Complete measured DO/TO architectural coordination.,True
F-005,existing_building,critical,The original 19-page existing-building drawing source is not independently controlled.,hold_final,Acquire REQ-101.,True
F-006,site,critical,The original cadastral DWG/survey base is not controlled.,hold_final,Acquire REQ-102.,True
F-007,structure,critical,"Existing load paths, capacities and connection details are unverified.",hold_final,Acquire REQ-103.,True
F-008,geotechnical,critical,No project-specific geotechnical and foundation evidence is available.,hold_final,Acquire REQ-104.,True
F-009,bbl_fire_mep,critical,"Fire, Bbl, occupancy, ventilation and installation assumptions are unresolved.",hold_final,Acquire REQ-105 and REQ-107.,True
F-010,parking,high,"Parking demand, field occupancy and public/private rights are not verified.",hold_final,Acquire REQ-106 and REQ-107.,True
F-011,aerius,high,Construction and operational activity data for AERIUS is absent.,hold_final,Acquire REQ-108.,True
F-012,cost,high,The cost band is an illustrative planning allowance and not market evidence.,accepted_with_conditions,Recalculate after technical evidence and measured quantities.,True
