assembly_id,component,layers,thickness_mm,status,evidence_link
EXT-W01,External wall,12.5 plasterboard / service zone / insulated frame / sheathing / cavity / masonry,350,CONCEPT,REQ-105
INT-W01,Internal partition,plasterboard / acoustic insulation / metal studs / plasterboard,125,CONCEPT,REQ-105
FLO-G01,Ground floor,finish / screed / insulation / reinforced slab / membrane / compacted base,420,CONCEPT,REQ-104
FLO-101,First floor,finish / screed / structural slab / suspended acoustic ceiling,350,CONCEPT,REQ-103
ROF-001,Flat roof,membrane / tapered insulation / vapour control / deck / ceiling,420,CONCEPT,REQ-105
WIN-001,Window system,thermally broken frame / insulated glazing,90,CONCEPT,REQ-105
DOR-001,External door,insulated leaf / accessible threshold / security set,70,CONCEPT,REQ-105
DOR-002,Fire-resisting door,rated leaf / smoke seals / closer,54,CONCEPT,REQ-105
STA-001,Stair,reinforced concrete flight / non-slip finish / handrails,180,CONCEPT,REQ-105
FND-001,Perimeter strip foundation,reinforced concrete strip,400,SIMULATION_ONLY,REQ-104
FND-002,Foundation beam,reinforced concrete beam,600,SIMULATION_ONLY,REQ-104
JNT-001,New-existing movement joint,compressible filler / water seal / cover profile,40,CONCEPT,REQ-103
DRN-001,Roof outlet,outlet / leaf guard / insulated penetration,0,CONCEPT,REQ-105
FIN-001,Prayer room floor finish,acoustic underlay / carpet system,20,CONCEPT,REQ-105
FIN-002,Wet room floor finish,tile / waterproofing / screed to fall,45,CONCEPT,REQ-105
CLG-001,Acoustic ceiling,perforated panels / acoustic backing / suspension,180,CONCEPT,REQ-105
