sheet_id,title,scale,status,pdf,svg,dxf
A-001,Situation and parking concept,1:250,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/A-001_Situation_and_parking_concept.pdf,drawings/svg/A-001_Situation_and_parking_concept.svg,drawings/dxf/A-001_Situation_and_parking_concept.dxf
A-101,Ground-floor plan,1:50,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/A-101_Ground_floor_plan.pdf,drawings/svg/A-101_Ground_floor_plan.svg,drawings/dxf/A-101_Ground_floor_plan.dxf
A-102,First-floor plan,1:50,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/A-102_First_floor_plan.pdf,drawings/svg/A-102_First_floor_plan.svg,drawings/dxf/A-102_First_floor_plan.dxf
A-201,Elevations,1:100,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/A-201_Elevations.pdf,drawings/svg/A-201_Elevations.svg,
A-301,Sections,1:100,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/A-301_Sections.pdf,drawings/svg/A-301_Sections.svg,
A-401,Roof plan and drainage concept,1:50,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/A-401_Roof_plan_and_drainage_concept.pdf,drawings/svg/A-401_Roof_plan_and_drainage_concept.svg,drawings/dxf/A-401_Roof_plan_and_drainage_concept.dxf
S-101,Foundation concept,1:50,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/S-101_Foundation_concept.pdf,drawings/svg/S-101_Foundation_concept.svg,drawings/dxf/S-101_Foundation_concept.dxf
S-201,Structural scheme and load path,1:75,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/S-201_Structural_scheme_and_load_path.pdf,drawings/svg/S-201_Structural_scheme_and_load_path.svg,
F-101,Fire and escape route concept,1:50,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/F-101_Fire_and_escape_route_concept.pdf,drawings/svg/F-101_Fire_and_escape_route_concept.svg,
X-101,Construction phasing concept,NTS,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,drawings/pdf/X-101_Construction_phasing_concept.pdf,drawings/svg/X-101_Construction_phasing_concept.svg,
