input_id,category,name,value,unit,source,reference,status
IN-001,model,extension_width,7.0,m,central_model,BLD-EXTENSION,SIMULATION_ONLY
IN-002,model,extension_length,10.0,m,central_model,BLD-EXTENSION,SIMULATION_ONLY
IN-003,model,extension_storeys,2,count,central_model,BLD-EXTENSION,SIMULATION_ONLY
IN-004,model,storey_height,3.2,m,central_model,"L00,L01",SIMULATION_ONLY
IN-005,assumption,floor_area_load,7.0,kN/m2,synthetic_test_fixture,REQ-103,SIMULATION_ONLY
IN-006,assumption,roof_area_load,3.5,kN/m2,synthetic_test_fixture,REQ-103,SIMULATION_ONLY
IN-007,assumption,wall_misc_allowance,110.0,kN,synthetic_test_fixture,REQ-103,SIMULATION_ONLY
IN-008,assumption,column_count,9,count,synthetic_test_fixture,REQ-103,SIMULATION_ONLY
IN-009,assumption,tributary_width,3.5,m,synthetic_test_fixture,REQ-103,SIMULATION_ONLY
IN-010,assumption,beam_span,5.0,m,synthetic_test_fixture,REQ-103,SIMULATION_ONLY
IN-011,assumption,foundation_strip_width,1.5,m,synthetic_test_fixture,REQ-104,SIMULATION_ONLY
IN-012,assumption,foundation_total_strip_length,48.0,m,synthetic_test_fixture,REQ-104,SIMULATION_ONLY
IN-013,project_leader_confirmed,peak_occupancy,200,persons,HBM-OCC-2026-001,REQ-107,CONFIRMED
IN-014,project_leader_confirmed,regular_occupancy,150,persons,HBM-OCC-2026-001,REQ-107,CONFIRMED
IN-015,project_leader_confirmed,friday_occupancy,125,persons,HBM-OCC-2026-001,REQ-107,CONFIRMED
IN-016,assumption,exit_count,2,count,synthetic_test_fixture,REQ-105,SIMULATION_ONLY
IN-017,assumption,exit_width_each,1.2,m,synthetic_test_fixture,REQ-105,SIMULATION_ONLY
IN-018,assumption,ventilation_rate,7.0,L/s/person,synthetic_test_fixture,REQ-105,SIMULATION_ONLY
IN-019,project_leader_confirmed,parking_capacity,225,spaces,central_model,REQ-106,CONFIRMED
IN-020,synthetic_activity,equipment_hours,496.0,h,REQ-108 simulation,REQ-108,SIMULATION_ONLY
IN-021,synthetic_activity,transport_vehicle_km,6600.0,vehicle-km,REQ-108 simulation,REQ-108,SIMULATION_ONLY
IN-022,model,existing_width,12.0,m,central_model,BLD-EXISTING,SIMULATION_ONLY
IN-023,model,existing_length,14.0,m,central_model,BLD-EXISTING,SIMULATION_ONLY
IN-024,model,existing_storeys,2,count,central_model,BLD-EXISTING,SIMULATION_ONLY
IN-025,model,net_space_area,388.32,m2,central_model,space_objects,SIMULATION_ONLY
IN-026,synthetic_activity,phase_site_preparation_days,10,days,REQ-108 simulation,REQ-108,SIMULATION_ONLY
IN-027,synthetic_activity,phase_foundation_days,15,days,REQ-108 simulation,REQ-108,SIMULATION_ONLY
IN-028,synthetic_activity,phase_structure_days,30,days,REQ-108 simulation,REQ-108,SIMULATION_ONLY
IN-029,synthetic_activity,phase_finishes_days,40,days,REQ-108 simulation,REQ-108,SIMULATION_ONLY
IN-030,synthetic_measurement,occupied_regular_weekday,110.0,spaces,REQ-106 simulation,REQ-106,SIMULATION_ONLY
IN-031,synthetic_measurement,occupied_friday_pre_peak,135.0,spaces,REQ-106 simulation,REQ-106,SIMULATION_ONLY
IN-032,synthetic_measurement,occupied_friday_prayer_peak,170.0,spaces,REQ-106 simulation,REQ-106,SIMULATION_ONLY
IN-033,synthetic_measurement,occupied_saturday_active_use,145.0,spaces,REQ-106 simulation,REQ-106,SIMULATION_ONLY
IN-034,synthetic_measurement,occupied_sunday_active_use,125.0,spaces,REQ-106 simulation,REQ-106,SIMULATION_ONLY
IN-035,synthetic_parking_demand,demand_regular_future,30,spaces,REQ-106 simulation,REQ-106,SIMULATION_ONLY
IN-036,synthetic_parking_demand,demand_friday_future,25,spaces,REQ-106 simulation,REQ-106,SIMULATION_ONLY
IN-037,synthetic_parking_demand,demand_special_peak,40,spaces,REQ-106 simulation,REQ-106,SIMULATION_ONLY
IN-038,synthetic_parking_measurement,minimum_available_spaces,55,spaces,REQ-106 simulation,REQ-106,SIMULATION_ONLY
