check_id,topic,passed,evidence
CHK-001,Statics,True,Reactions equal total ULS load.
CHK-002,Flexure resistance,True,MEd/MRd = 0.923
CHK-003,Neutral axis,True,x/(xlim*d) = 0.333
CHK-004,Minimum reinforcement,True,"As,prov = 678.6 mm2; As,min = 200.9 mm2"
CHK-005,Maximum reinforcement,True,"As,prov = 678.6 mm2; As,max = 6000.0 mm2"
CHK-006,Bar fit,True,6T12 bottom (As=679 mm2; clear=26 mm)
CHK-007,Shear resistance,True,VEd/VRd = 0.918
CHK-008,Shear compression strut,True,"VEd = 80.2 kN; VRd,max = 538.0 kN"
CHK-009,Deflection,True,delta = 6.75 mm; limit = 20.00 mm
CHK-010,Crack width,True,wk = 0.093 mm; limit = 0.300 mm
CHK-011,Anchorage fit,True,"lb,design = 395 mm; available = 850 mm"
CHK-012,Support bearing,True,bearing utilization = 0.087
CHK-013,Deep-section review gate,True,h = 500 mm; mandatory review threshold = 700 mm
CHK-014,Fire design boundary,True,Fire design is excluded and must be completed separately.
CHK-015,Professional review gate,True,All outputs remain preliminary until signed by a competent structural engineer.
CHK-016,Standard profile declared,True,SUR_STRUCTURAL_PRELIMINARY_2026__PROJECT-SPECIFIED EC2 PRELIMINARY BASIS FOR DEMONSTRATION
