id,name,level_id,building_id,area_m2,status
SP-L00-01,Entree en verkeersruimte,L00,BLD-EXISTING,23.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L00-02,Gebedsruimte heren,L00,BLD-EXISTING,50.16,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L00-03,Ontmoeting en conferentie,L00,BLD-EXISTING,23.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L00-04,Wasruimte en toiletten,L00,BLD-EXISTING,23.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L00-05,Uitbreiding multifunctioneel west,L00,BLD-EXTENSION,29.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L00-06,Uitbreiding multifunctioneel oost,L00,BLD-EXTENSION,29.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L01-01,Gebedsruimte dames,L01,BLD-EXISTING,76.56,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L01-02,Kantine en ontmoeting,L01,BLD-EXISTING,23.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L01-03,Leslokaal 1,L01,BLD-EXISTING,23.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L01-04,Leslokaal 2 en sanitair,L01,BLD-EXISTING,23.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L01-05,Uitbreiding les en gebed west,L01,BLD-EXTENSION,29.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
SP-L01-06,Uitbreiding les en gebed oost,L01,BLD-EXTENSION,29.76,CONCEPT MODEL - NOT FOR SUBMISSION OR EXECUTION
